Timestamp,Date,"Vwap (ETCUSD)",Volume
1519128000,"2018-02-20 12:00:00",40.34763898,53372.01399562
1519124400,"2018-02-20 11:00:00",40.65648115,73275.51230292
1519120800,"2018-02-20 10:00:00",39.72875723,115136.35503128
1519117200,"2018-02-20 09:00:00",40.45492103,63122.02415475
1519113600,"2018-02-20 08:00:00",40.95871856,60574.44936438
1519110000,"2018-02-20 07:00:00",41.34492555,52013.14909693
1519106400,"2018-02-20 06:00:00",41.45788008,36246.92977614
1519102800,"2018-02-20 05:00:00",41.85865632,81216.82367891
1519099200,"2018-02-20 04:00:00",42.07908694,50444.65869605
1519095600,"2018-02-20 03:00:00",42.40678698,150006.37963824
1519092000,"2018-02-20 02:00:00",41.42099081,197123.1466457
1519088400,"2018-02-20 01:00:00",40.38049887,314878.3245205
1519084800,"2018-02-20 00:00:00",38.49337014,29722.99679875
1519081200,"2018-02-19 23:00:00",38.68398044,29783.09947515
1519077600,"2018-02-19 22:00:00",38.49541795,54521.04512711
1519074000,"2018-02-19 21:00:00",38.81110852,25422.82078479
1519070400,"2018-02-19 20:00:00",39.07532924,63650.85356188
1519066800,"2018-02-19 19:00:00",38.84267912,103757.32701249
1519063200,"2018-02-19 18:00:00",38.26688037,71943.77479116
1519059600,"2018-02-19 17:00:00",38.83011801,78978.77845595
1519056000,"2018-02-19 16:00:00",38.98291135,128179.4392972
1519052400,"2018-02-19 15:00:00",39.00513293,212232.19678005
1519048800,"2018-02-19 14:00:00",37.9800563,91972.44428296
1519045200,"2018-02-19 13:00:00",37.22315685,66241.49267887
1519041600,"2018-02-19 12:00:00",37.0423042,138759.32839413
1519038000,"2018-02-19 11:00:00",37.5891733,135154.77188518
1519034400,"2018-02-19 10:00:00",37.47306712,222664.71293206
1519030800,"2018-02-19 09:00:00",36.46924624,113528.80891992
1519027200,"2018-02-19 08:00:00",35.69221595,228522.98396912
1519023600,"2018-02-19 07:00:00",34.30226153,34809.71947724
1519020000,"2018-02-19 06:00:00",33.77968882,12656.81770798
1519016400,"2018-02-19 05:00:00",33.88801002,9649.30632609
1519012800,"2018-02-19 04:00:00",33.66014774,16131.96883418
1519009200,"2018-02-19 03:00:00",33.4183953,88281.14088855
1519005600,"2018-02-19 02:00:00",34.1985365,19806.75067493
